Material;Descrição;Saldo;Saldo Disp.;Estoque p/Armazenar;UM;Preço Unit.;Valor Estoque;Est.Seg.(qtd);Pto Reab.;Tipo Material;Tipo MRP;Planejador MRP;Cobertura Estoque s/ entradas;Cobertura Estoque c/ entradas;Fornecedor;Descr. Forn.;Lead Time Total;Prazo Entrega Prevista (Dias);Tempo de Processamento EM;Código ABC;Tamanho do lote MRP;Tamanho mínimo lote;Tamanho máximo lote;Tamanho fixo do lote;Lote Multiplo;Estoque máximo;Perfil de Cobertura;Descrição do Perfil;Estoque Seg(MARC);Calendário de Planejamento;Descrição do Calendário;Centro Abastecedor;Grau atend. (%);Qtd em Pedido de Compras;Nec.NOV/2019;Nec.DEZ/2019;Nec.JAN/2020;Nec.FEV/2020;Nec.MAR/2020;Nec.ABR/2020;Mat.Verif.;Requisição;Item Requisição;Ord.Planej.;Data Remessa;Dt.Reprog.;Qtd RC / Ord.Plan;Qtd.Confirmada;Data Confirmada;Valor da Requisição;Ordens Planejadas;Contrato;Item do Contrato;Preço em Contrato;Faturamento Minimo Fornecedor;Centro com Excesso de Estoque;Cons.DEZ/2018;Cons.JAN/2019;Cons.FEV/2019;Cons.MAR/2019;Cons.ABR/2019;Cons.MAI/2019;Cons.JUN/2019;Cons.JUL/2019;Cons.AGO/2019;Cons.SET/2019;Cons.OUT/2019;Cons.NOV/2019;Pedido 1;Próxima Entrega;Dt. Conf. 1;Quantidade;Pedido 2;2a Entrega;Dt. Conf. 2;Quantidade;Pedido 3;3a Entrega;Dt. Conf. 3;Quantidade;Temp.Armaz.;Perfil MRP;Descrição Perfil MRP;Dias sem Saídas;Dias sem Entradas;Excesso Estoque;Quantidade em Excesso;Dias de Excesso de Estoque;Excesso de Estoque (pedido);Quantidade em Excesso (pedido);Dias em Execesso (pedido);Faturamento minimo;Quantidade em Separação;Stat.Mat.;Des.Status;Num.Mat.Fab.;Materiais Substituídos
10000841;TB SOL SALINA 0.85% 3ML P.LABOR;0,000;0,000;0,000;UN;1,59;0,00;39,204;0,000;ZROH;VV;005;0,0;15,0;DA04;ARMAZEM-PE;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;149,000;13,636;340,910;272,728;272,728;340,910;272,728;@3J@;;0;;;;0,000;0,000;;0,00;1.579,000;;0;0,00;0,00;;200,000;0,000;0,000;0,000;0,000;0,000;0,000;200,000;0,000;300,000;300,000;150,000;5500001368;29/11/2019;31/12/9999;53,000;5500001368;02/12/2019;31/12/9999;14,000;5500001368;03/12/2019;31/12/9999;13,000;;;;359;401;@08@;0,000;0;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;03545;
10001327;SWAB ALCOOL C/100 BIOSOMA;0,000;0,000;0,000;CX;3,50;0,00;0,576;0,000;ZROH;VV;006;0,0;21,0;DA04;ARMAZEM-PE;2;0;2;A;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,5;3,000;0,200;5,000;4,000;3,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;10,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;16,000;0,000;0,000;0,000;0,000;0,000;0,000;5500001368;29/11/2019;31/12/9999;1,000;5500001368;03/12/2019;31/12/9999;1,000;5500001368;10/12/2019;31/12/9999;1,000;;;;190;222;@08@;0,000;0;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;L-02Y;
10001754;CLB CFAS HBA1C C/3 2ML ROCHE;0,000;0,000;0,000;KIT;46,07;0,00;0,096;0,000;ZROH;VV;005;0,0;42,0;DA04;ARMAZEM-PE;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;97,0;1,000;0,033;0,835;0,668;1,600;2,000;1,600;@3J@;;0;;;;0,000;0,000;;0,00;8,000;;0;0,00;0,00;;3,000;0,000;2,000;1,000;1,000;1,000;0,000;1,000;1,000;2,000;1,000;2,000;5500001368;26/11/2019;31/12/9999;1,000;;;;0,000;;;;0,000;;;;311;323;@08@;0,000;0;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;4528417190;
10002291;DISCO LINEZOLID 30MCG C/50;0,000;0,000;0,000;FR;9,05;0,00;0,000;0,000;ZROH;ND;005;0,0;999,0;;;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;006;Cobertura 6 dias;0,000;DIA;DIARIO;DA04;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;191;191;@08@;0,000;0;@08@;0,000;0,0;;0,000;03;BLOQUEIO COMPRAS;1660;
10002674;TB VAC EDTA K3 HEMA S/ARESTA 4ML GBO;0,000;0,000;0,000;UN;0,24;0,00;3,592;0,000;ZROH;VV;006;0,0;56,0;DA04;ARMAZEM-PE;2;0;2;C;Z1;50,000;0,000;0,000;50,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;50,000;1,250;31,250;25,000;18,750;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;50,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;100,000;0,000;0,000;0,000;0,000;0,000;0,000;5500001368;29/11/2019;31/12/9999;50,000;;;;0,000;;;;0,000;;;;190;222;@08@;0,000;0;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;454021;10002220
10002811;TB COAG 9NC CITRA SOD 3.2% 2ML GBO;0,000;0,000;0,000;UN;0,37;0,00;1,796;0,000;ZROH;VV;006;0,0;111,0;DA04;ARMAZEM-PE;2;0;2;A;Z1;50,000;0,000;0,000;50,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;50,000;0,625;15,625;12,500;9,375;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;50,000;0,000;0,000;0,000;0,000;0,000;0,000;5500001368;29/11/2019;31/12/9999;50,000;;;;0,000;;;;0,000;;;;190;222;@08@;0,000;0;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;454322;10007140
10002860;TB VAC HEMAT TP RX EDTA K3 2ML GBO;0,000;0,000;0,000;UN;0,24;0,00;1,796;0,000;ZROH;VV;006;0,0;111,0;DA04;ARMAZEM-PE;2;0;2;A;Z1;50,000;0,000;0,000;50,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;50,000;0,625;15,625;12,500;9,375;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;50,000;0,000;0,000;0,000;0,000;0,000;0,000;5500001368;29/11/2019;31/12/9999;50,000;;;;0,000;;;;0,000;;;;190;222;@08@;0,000;0;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;454222;
10004181;DENSICHECK PLUS STANDS BMX;0,000;0,000;0,000;KIT;397,70;0,00;0,256;0,000;ZROH;VV;005;0,0;16,0;DA04;ARMAZEM-PE;0;0;0;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;97,0;1,000;0,089;2,220;1,776;1,776;2,220;1,776;@3J@;;0;;;;0,000;0,000;;0,00;10,000;;0;0,00;0,00;;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;1,000;2,000;5500001368;26/11/2019;31/12/9999;1,000;;;;0,000;;;;0,000;;;;311;334;@08@;0,000;0;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;21255;
10005057;RGT CARTAO TEST1 P/VHS 1000T ALERE;1,090;1,090;0,000;KIT;747,00;814,23;0,000;0,000;ZROH;VV;005;999,9;999,9;;;0;0;0;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;39;39;@0A@;1,090;996;@08@;0,000;0,0;;0,000;00;LIBERADO;8700011;
10005896;LEUCOTIFF 1L ABX;0,000;0,000;0,000;KIT;36,27;0,00;15,200;0,000;ZROH;VV;005;0,0;19,0;DA04;ARMAZEM-PE;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;71,000;5,288;132,190;105,752;105,752;132,190;105,752;@3J@;;0;;;;0,000;0,000;;0,00;612,000;;0;0,00;0,00;;21,000;75,000;50,000;44,000;69,000;82,000;74,000;105,000;124,000;117,000;117,000;108,000;5500001368;29/11/2019;31/12/9999;21,000;5500001368;02/12/2019;31/12/9999;5,000;5300124051;29/11/2019;03/12/2019;13,000;;;;317;326;@08@;0,000;0;@0A@;13,000;3,0;@08@;0,000;00;LIBERADO;1210206013;
