Material;Descrição;Saldo Disp.;Estoque p/Armazenar;UM;Preço Unit.;Tipo MRP;Descrição do Calendário;Nec.NOV/2019;Nec.DEZ/2019;Nec.JAN/2020;Nec.FEV/2020;Nec.MAR/2020;Nec.ABR/2020;Cons.DEZ/2018;Cons.JAN/2019;Cons.FEV/2019;Cons.MAR/2019;Cons.ABR/2019;Cons.MAI/2019;Cons.JUN/2019;Cons.JUL/2019;Cons.AGO/2019;Cons.SET/2019;Cons.OUT/2019;Cons.NOV/2019;Pedido 1;Próxima Entrega;Dt. Conf. 1;Des.Status;Num.Mat.Fab.;Materiais Substituídos
10000841;TB SOL SALINA 0.85% 3ML P.LABOR;0;0;UN;1,59;VV;DIARIO;13,636;340,91;272,728;272,728;340,91;272,728;200;0;0;0;0;0;0;200;0;300;300;150;5500001368;29/11/2019;31/12/9999;LIBERADO;3545;
10001327;SWAB ALCOOL C/100 BIOSOMA;0;0;CX;3,5;VV;DIARIO;0,2;5;4;3;0;0;0;0;0;0;0;16;0;0;0;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;L-02Y;
10001754;CLB CFAS HBA1C C/3 2ML ROCHE;0;0;KIT;46,07;VV;DIARIO;0,033;0,835;0,668;1,6;2;1,6;3;0;2;1;1;1;0;1;1;2;1;2;5500001368;26/11/2019;31/12/9999;LIBERADO;4528417190;
10002291;DISCO LINEZOLID 30MCG C/50;0;0;FR;9,05;ND;DIARIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;BLOQUEIO COMPRAS;1660;
10002674;TB VAC EDTA K3 HEMA S/ARESTA 4ML GBO;0;0;UN;0,24;VV;DIARIO;1,25;31,25;25;18,75;0;0;0;0;0;0;0;100;0;0;0;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;454021;10002220
10002811;TB COAG 9NC CITRA SOD 3.2% 2ML GBO;0;0;UN;0,37;VV;DIARIO;0,625;15,625;12,5;9,375;0;0;0;0;0;0;0;50;0;0;0;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;454322;10007140
10002860;TB VAC HEMAT TP RX EDTA K3 2ML GBO;0;0;UN;0,24;VV;DIARIO;0,625;15,625;12,5;9,375;0;0;0;0;0;0;0;50;0;0;0;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;454222;
10004181;DENSICHECK PLUS STANDS BMX;0;0;KIT;397,7;VV;DIARIO;0,089;2,22;1,776;1,776;2,22;1,776;1;0;0;0;0;0;0;0;0;1;1;2;5500001368;26/11/2019;31/12/9999;LIBERADO;21255;
10005057;RGT CARTAO TEST1 P/VHS 1000T ALERE;1,09;0;KIT;747;VV;DIARIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;LIBERADO;8700011;
10005896;LEUCOTIFF 1L ABX;0;0;KIT;36,27;VV;DIARIO;5,288;132,19;105,752;105,752;132,19;105,752;21;75;50;44;69;82;74;105;124;117;117;108;5500001368;29/11/2019;31/12/9999;LIBERADO;1210206013;
10006502;MEIO CULT HEMOC PEDIATRICA PLUS F BD;0;0;FR;9,2;VV;DIARIO;0,2;5;4;4;0;0;0;0;15;0;0;0;0;0;0;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;442020;
10007777;SAF CONSERVANT P/FEZES 50ML COPROPLUS;0;0;UN;2,32;VV;DIARIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;LIBERADO;NL.CPU.SAF /S;
10007863;COLORGRAN COLORACAO AMINAS HEMOGRAM;0;0;KIT;143,22;VV;DIARIO;1;25;20;19,252;24,065;19,252;3;7;3;5;0;7;4;6;24;18;30;10;5500001368;29/11/2019;31/12/9999;LIBERADO;HMG010606489EN;10007138
10008318;CTR LYPHOCHEK QUANT URINA NV1 NORMAL;0;0;KIT;277,63;VV;DIARIO;0,083;2,085;1,668;1,668;2,085;1,668;0;0;0;0;0;2;0;0;0;5;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;376;
10008347;CTR LYPHOCHEK QUANT URINA NV2 NORMAL;0;0;KIT;271,48;VV;DIARIO;0,1;2,5;2;2;2,5;2;0;0;0;0;0;2;0;0;0;2;2;1;5500001368;29/11/2019;31/12/9999;LIBERADO;377;
10008428;DISCO CLORANFEN 30MCG C/50;0;0;FR;90,78;VV;DIARIO;0,05;1,25;1;1;1,25;1;0;0;0;0;0;2;0;0;0;0;2;0;5500001368;26/11/2019;31/12/9999;LIBERADO;1625;
10008545;COL URINA 24HS AMBAR 2L CRAL;0;0;UN;2,83;ND;DIARIO;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;BLOQUEIO COMPRAS;CLT24H2LA;10006168
10008633;GLUTOL LIQ LIMAO 75G 300ML;0;0;FR;2,89;VV;DIARIO;0,013;0,315;0,252;0,189;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;610667;
10008778;COL PERFURO CORTANTE 13L DESCARPACK;0;0;UN;4,68;VV;DIARIO;0,488;12,19;9,752;9,752;12,19;9,752;0;1;6;2;7;5;6;6;12;10;10;13;5500001368;29/11/2019;31/12/9999;LIBERADO;150027;
10008837;PONT GILSON 0.1-10UL C/1000 CRAL;0;0;PAC;25;ZM;PE - SEG SEMANAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;LIBERADO;18261;
10009056;PL AGAR SANG CARN 90MM C/10 BMX;0;0;PAC;28,18;VV;DIARIO;0;0;0;0;0;0;0;93;0;0;0;0;0;0;0;0;0;0;5300088773;08/01/2019;10/01/2019;LIBERADO;35095;
10009266;CURAT ADUL ESTL COPERTINA C/500 CRAL;0;0;CX;12,1;VV;DIARIO;0,013;0,315;0,252;0,189;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;COPE500;
10009481;TB AMBAR SOROL C/GEL 3.5ML GBO;0;0;UN;0,51;ND;DIARIO;0;0;0;0;0;0;0;0;0;0;0;350;0;0;0;0;0;0;;;;BLOQUEIO COMPRAS;454482;
10009570;PINCA ANATOMICA 16CM;7;0;UN;25;ZM;DIARIO;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;LIBERADO;172-16;
10009578;CTR PC UNIV ELEC ROCHE;0;0;KIT;99,49;VV;DIARIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;LIBERADO;11731416190;
10009636;ALCA SECRE OC DESC ESTL 10UL CRAL;0;0;UN;0,11;ND;DIARIO;0;0;0;0;0;0;0;0;0;0;0;4.879,00;0;0;0;0;0;0;;;;BLOQUEIO COMPRAS;182881P;
10009699;CTR DIFFTROL 3NV ABX;0;0;KIT;168;VV;DIARIO;3,375;84,375;67,5;67,5;84,375;67,5;8;30;66;140;90;90;74;85;100;80;60;50;5500001368;29/11/2019;31/12/9999;LIBERADO;2062014;
10009754;SACO AUTOCL C/20 60L CRAL;0;0;PAC;21,99;VV;DIARIO;0,438;10,94;8,752;8,752;2,188;0;0;0;7;0;0;35;0;0;0;0;0;16;5500001368;29/11/2019;31/12/9999;LIBERADO;SACO60;
10009797;SWAB PLAST ALG P/ABSOR EST C/100 ABSORVE;0;0;CX;11,4;VV;DIARIO;0,25;6,25;5;5;1,25;0;0;0;0;0;1;20;0;0;0;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;23007;
10009849;ALCA AM PLAST DESC 1UL CRAL;0;0;UN;0,12;VV;DIARIO;1.080,00;27.000,00;21.600,00;21.600,00;27.000,00;21.600,00;7.700,00;10.400,00;9.600,00;6.000,00;17.600,00;23.000,00;23.500,00;27.100,00;28.200,00;21.800,00;19.500,00;23.400,00;5500001368;29/11/2019;31/12/9999;LIBERADO;182861PA;
10009891;BASOLYSE 5L BC ABX;0;0;GL;65,62;VV;DIARIO;4;100;80;95,252;119,065;95,252;17;64;34;47;70;65;75;111;108;103;105;102;5500001368;29/11/2019;31/12/9999;LIBERADO;204050;10007750
10009894;LANCETA MOICROT C/ADAPT SEGUR 1.5X2MM BD;0;0;UN;0,79;VV;DIARIO;2,5;62,5;50;37,5;0;0;0;0;0;0;0;200;0;0;0;0;0;0;5500001368;21/11/2019;31/12/9999;LIBERADO;366594;
10009905;CTR LYPHOCHEK IMUN PLUS NV2;0;0;KIT;342,7;PD;DIARIO;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;LIBERADO;372;
10009910;CTR CTR LYPHOCHEK IMUN PLUS NV3;0;0;KIT;300,34;ZM;DIARIO;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;;;;LIBERADO;373;
10009990;LANCETA MOICROTAINS C/SEG 21G 1.5ML BD;0;0;UN;0,62;VV;DIARIO;5;125;100;75;0;0;0;0;0;0;0;400;0;0;0;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;366593;
10010179;ESCALPE 23G BD;0;0;UN;0,74;PD;DIARIO;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;LIBERADO;388338;
10010237;COL PERFURO CORTANTE 1.5L DESCARPACK;0;0;UN;3,88;VV;DIARIO;0,2;5;4;4;5;4;0;0;0;2;5;2;2;0;0;0;6;1;5500001368;27/11/2019;31/12/9999;LIBERADO;150026;
10010310;ESCALPE 25G BD;0;0;UN;0,67;VV;DIARIO;1,25;31,25;25;18,75;0;0;0;0;0;0;0;100;0;0;0;0;0;0;5500001368;29/11/2019;31/12/9999;LIBERADO;388339;
