Material;Descrição;Saldo;Saldo Disp.;Estoque p/Armazenar;UM;Preço Unit.;Valor Estoque;Est.Seg.(qtd);Pto Reab.;Tipo Material;Tipo MRP;Planejador MRP;Cobertura Estoque s/ entradas;Cobertura Estoque c/ entradas;Fornecedor;Descr. Forn.;Lead Time Total;Prazo Entrega Prevista (Dias);Tempo de Processamento EM;Código ABC;Tamanho do lote MRP;Tamanho mínimo lote;Tamanho máximo lote;Tamanho fixo do lote;Lote Multiplo;Estoque máximo;Perfil de Cobertura;Descrição do Perfil;Estoque Seg(MARC);Calendário de Planejamento;Descrição do Calendário;Centro Abastecedor;Grau atend. (%);Qtd em Pedido de Compras;Nec.NOV/2019;Nec.DEZ/2019;Nec.JAN/2020;Nec.FEV/2020;Nec.MAR/2020;Nec.ABR/2020;Mat.Verif.;Requisição;Item Requisição;Ord.Planej.;Data Remessa;Dt.Reprog.;Qtd RC / Ord.Plan;Qtd.Confirmada;Data Confirmada;Valor da Requisição;Ordens Planejadas;Contrato;Item do Contrato;Preço em Contrato;Faturamento Minimo Fornecedor;Centro com Excesso de Estoque;Cons.DEZ/2018;Cons.JAN/2019;Cons.FEV/2019;Cons.MAR/2019;Cons.ABR/2019;Cons.MAI/2019;Cons.JUN/2019;Cons.JUL/2019;Cons.AGO/2019;Cons.SET/2019;Cons.OUT/2019;Cons.NOV/2019;Pedido 1;Próxima Entrega;Dt. Conf. 1;Quantidade;Pedido 2;2a Entrega;Dt. Conf. 2;Quantidade;Pedido 3;3a Entrega;Dt. Conf. 3;Quantidade;Temp.Armaz.;Perfil MRP;Descrição Perfil MRP;Dias sem Saídas;Dias sem Entradas;Excesso Estoque;Quantidade em Excesso;Dias de Excesso de Estoque;Excesso de Estoque (pedido);Quantidade em Excesso (pedido);Dias em Execesso (pedido);Faturamento minimo;Quantidade em Separação;Stat.Mat.;Des.Status;Num.Mat.Fab.;Materiais Substituídos
10000841;TB SOL SALINA 0.85% 3ML P.LABOR;0;0;0;UN;1,59;0;39,204;0;ZROH;VV;005;0;15;DA04;ARMAZEM-PE;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;149;13,636;340,91;272,728;272,728;340,91;272,728;@3J@;;0;;;;0;0;;0;1579;;0;0;0;;200;0;0;0;0;0;0;200;0;300;300;150;5500001368;43798;2958465;53;5500001368;43801;2958465;14;5500001368;43802;2958465;13;;;;359;401;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;03545;
10001327;SWAB ALCOOL C/100 BIOSOMA;0;0;0;CX;3,5;0;0,576;0;ZROH;VV;006;0;21;DA04;ARMAZEM-PE;2;0;2;A;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99,5;3;0,2;5;4;3;0;0;@3J@;;0;;;;0;0;;0;10;;0;0;0;;0;0;0;0;0;16;0;0;0;0;0;0;5500001368;43798;2958465;1;5500001368;43802;2958465;1;5500001368;43809;2958465;1;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;L-02Y;
10001754;CLB CFAS HBA1C C/3 2ML ROCHE;0;0;0;KIT;46,07;0;0,096;0;ZROH;VV;005;0;42;DA04;ARMAZEM-PE;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;97;1;0,033;0,835;0,668;1,6;2;1,6;@3J@;;0;;;;0;0;;0;8;;0;0;0;;3;0;2;1;1;1;0;1;1;2;1;2;5500001368;43795;2958465;1;;;;0;;;;0;;;;311;323;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;4528417190;
10002291;DISCO LINEZOLID 30MCG C/50;0;0;0;FR;9,05;0;0;0;ZROH;ND;005;0;999;;;2;0;2;C;Z1;1;0;0;1;0;006;Cobertura 6 dias;0;DIA;DIARIO;DA04;97;0;0;0;0;0;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;;0;;;;0;;;;191;191;@08@;0;0;@08@;0;0;;0;03;BLOQUEIO COMPRAS;1660;
10002674;TB VAC EDTA K3 HEMA S/ARESTA 4ML GBO;0;0;0;UN;0,24;0;3,592;0;ZROH;VV;006;0;56;DA04;ARMAZEM-PE;2;0;2;C;Z1;50;0;0;50;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;50;1,25;31,25;25;18,75;0;0;@3J@;;0;;;;0;0;;0;50;;0;0;0;;0;0;0;0;0;100;0;0;0;0;0;0;5500001368;43798;2958465;50;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;454021;10002220
10002811;TB COAG 9NC CITRA SOD 3.2% 2ML GBO;0;0;0;UN;0,37;0;1,796;0;ZROH;VV;006;0;111;DA04;ARMAZEM-PE;2;0;2;A;Z1;50;0;0;50;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;50;0,625;15,625;12,5;9,375;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;50;0;0;0;0;0;0;5500001368;43798;2958465;50;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;454322;10007140
10002860;TB VAC HEMAT TP RX EDTA K3 2ML GBO;0;0;0;UN;0,24;0;1,796;0;ZROH;VV;006;0;111;DA04;ARMAZEM-PE;2;0;2;A;Z1;50;0;0;50;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;50;0,625;15,625;12,5;9,375;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;50;0;0;0;0;0;0;5500001368;43798;2958465;50;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;454222;
10004181;DENSICHECK PLUS STANDS BMX;0;0;0;KIT;397,7;0;0,256;0;ZROH;VV;005;0;16;DA04;ARMAZEM-PE;0;0;0;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;97;1;0,089;2,22;1,776;1,776;2,22;1,776;@3J@;;0;;;;0;0;;0;10;;0;0;0;;1;0;0;0;0;0;0;0;0;1;1;2;5500001368;43795;2958465;1;;;;0;;;;0;;;;311;334;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;21255;
10005057;RGT CARTAO TEST1 P/VHS 1000T ALERE;1,09;1,09;0;KIT;747;814,23;0;0;ZROH;VV;005;999,9;999,9;;;0;0;0;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;0;0;0;0;0;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;;0;;;;0;;;;39;39;@0A@;1,09;996;@08@;0;0;;0;00;LIBERADO;8700011;
10005896;LEUCOTIFF 1L ABX;0;0;0;KIT;36,27;0;15,2;0;ZROH;VV;005;0;19;DA04;ARMAZEM-PE;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;71;5,288;132,19;105,752;105,752;132,19;105,752;@3J@;;0;;;;0;0;;0;612;;0;0;0;;21;75;50;44;69;82;74;105;124;117;117;108;5500001368;43798;2958465;21;5500001368;43801;2958465;5;5300124051;43798;43802;13;;;;317;326;@08@;0;0;@0A@;13;3;@08@;0;00;LIBERADO;1210206013;
10006502;MEIO CULT HEMOC PEDIATRICA PLUS F BD;0;0;0;FR;9,2;0;0,576;0;ZROH;VV;005;0;21;DA04;ARMAZEM-PE;2;0;2;A;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;3;0,2;5;4;4;0;0;@3J@;;0;;;;0;0;;0;11;;0;0;0;;0;0;15;0;0;0;0;0;0;0;0;0;5500001368;43798;2958465;1;5500001368;43802;2958465;1;5500001368;43809;2958465;1;;;;311;324;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;442020;
10007777;SAF CONSERVANT P/FEZES 50ML COPROPLUS;0;0;0;UN;2,32;0;0;0;ZROH;VV;005;0;999;;;2;0;2;A;Z1;100;0;0;100;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;0;0;0;0;0;0;0;@3J@;;0;;;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;;0;;;;0;;;;311;351;@08@;0;0;@08@;0;0;;0;00;LIBERADO;NL.CPU.SAF /S;
10007863;COLORGRAN COLORACAO AMINAS HEMOGRAM;0;0;0;KIT;143,22;0;2,876;0;ZROH;VV;005;0;18;DA04;ARMAZEM-PE;2;0;2;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;99;13;1;25;20;19,252;24,065;19,252;@3J@;;0;;;;0;0;;0;113;;0;0;0;;3;7;3;5;0;7;4;6;24;18;30;10;5500001368;43798;2958465;4;5500001368;43801;2958465;1;5300124076;43798;43802;2;;;;190;222;@08@;0;0;@0A@;2;3;@08@;0;00;LIBERADO;HMG010606489EN;10007138
10008318;CTR LYPHOCHEK QUANT URINA NV1 NORMAL;0;0;0;KIT;277,63;0;0,24;0;ZROH;VV;005;0;17;DA04;ARMAZEM-PE;0;0;0;C;Z1;1;0;0;1;0;004;Cobertura 4 dias;0;DIA;DIARIO;DA04;97;1;0,083;2,085;1,668;1,668;2,085;1,668;@3J@;;0;;;;0;0;;0;10;;0;0;0;;0;0;0;0;0;2;0;0;0;5;0;0;5500001368;43798;2958465;1;;;;0;;;;0;;;;190;222;@08@;0;0;@08@;0;0;@08@;0;00;LIBERADO;376;
