Estoque;Centro;Área MRP;Material;Descrição;Saldo;Saldo Disp.;Estoque p/Armazenar;UM;Preço Unit.;Valor Estoque;Est.Seg.(qtd);Pto Reab.;Tipo Material;Tipo MRP;Planejador MRP;Cobertura Estoque s/ entradas;Cobertura Estoque c/ entradas;Fornecedor;Descr. Forn.;Lead Time Total;Prazo Entrega Prevista (Dias);Tempo de Processamento EM;Código ABC;Tamanho do lote MRP;Tamanho mínimo lote;Tamanho máximo lote;Tamanho fixo do lote;Lote Multiplo;Estoque máximo;Perfil de Cobertura;Descrição do Perfil;Estoque Seg(MARC);Calendário de Planejamento;Descrição do Calendário;Centro Abastecedor;Grau atend. (%);Qtd em Pedido de Compras;Nec.NOV/2019;Nec.DEZ/2019;Nec.JAN/2020;Nec.FEV/2020;Nec.MAR/2020;Nec.ABR/2020;Mat.Verif.;Requisição;Item Requisição;Ord.Planej.;Data Remessa;Dt.Reprog.;Qtd RC / Ord.Plan;Qtd.Confirmada;Data Confirmada;Valor da Requisição;Ordens Planejadas;Contrato;Item do Contrato;Preço em Contrato;Faturamento Minimo Fornecedor;Centro com Excesso de Estoque;Cons.DEZ/2018;Cons.JAN/2019;Cons.FEV/2019;Cons.MAR/2019;Cons.ABR/2019;Cons.MAI/2019;Cons.JUN/2019;Cons.JUL/2019;Cons.AGO/2019;Cons.SET/2019;Cons.OUT/2019;Cons.NOV/2019;Pedido 1;Próxima Entrega;Dt. Conf. 1;Quantidade;Pedido 2;2a Entrega;Dt. Conf. 2;Quantidade;Pedido 3;3a Entrega;Dt. Conf. 3;Quantidade;Temp.Armaz.;Perfil MRP;Descrição Perfil MRP;Dias sem Saídas;Dias sem Entradas;Excesso Estoque;Quantidade em Excesso;Dias de Excesso de Estoque;Excesso de Estoque (pedido);Quantidade em Excesso (pedido);Dias em Execesso (pedido);Faturamento minimo;Quantidade em Separação;Stat.Mat.;Des.Status;Num.Mat.Fab.;Materiais Substituídos
;DA04;;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;979,000;940,000;0,000;UN;1,06;1.034,77;1.424,808;0,000;ZROH;PD;022;11,8;20,0;;;7;3;4;C;Z1;50,000;0,000;0,000;50,000;0,000;018;Cobertura 18 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;650,000;116,000;2.153,000;2.797,000;2.627,000;2.941,000;2.890,000;@3J@;1016715125;10;;05/12/2019;02/12/2019;50,000;0,000;;0,00;8.500,000;;0;0,00;0,00;;0,000;0,000;351,000;1.299,000;3.350,000;1.102,000;340,000;2.650,000;2.694,000;1.750,000;2.800,000;2.206,000;4500309211;27/11/2019;;100,000;4500309211;27/11/2019;;500,000;4500309211;27/11/2019;;50,000;008;;;1;4;@08@;0,000;0;@08@;0,000;0,0;;39,000;00;LIBERADO;03545;
;DA04;;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;979,000;940,000;0,000;UN;1,06;1.034,77;1.424,808;0,000;ZROH;PD;022;11,8;20,0;;;7;3;4;C;Z1;50,000;0,000;0,000;50,000;0,000;018;Cobertura 18 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;650,000;116,000;2.153,000;2.797,000;2.627,000;2.941,000;2.890,000;@3J@;1016715126;10;;05/12/2019;04/12/2019;200,000;0,000;;0,00;8.500,000;;0;0,00;0,00;;0,000;0,000;351,000;1.299,000;3.350,000;1.102,000;340,000;2.650,000;2.694,000;1.750,000;2.800,000;2.206,000;4500309211;27/11/2019;;100,000;4500309211;27/11/2019;;500,000;4500309211;27/11/2019;;50,000;008;;;1;4;@08@;0,000;0;@08@;0,000;0,0;;39,000;00;LIBERADO;03545;
;DA04;;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;979,000;940,000;0,000;UN;1,06;1.034,77;1.424,808;0,000;ZROH;PD;022;11,8;20,0;;;7;3;4;C;Z1;50,000;0,000;0,000;50,000;0,000;018;Cobertura 18 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;650,000;116,000;2.153,000;2.797,000;2.627,000;2.941,000;2.890,000;@3J@;1016715127;10;;05/12/2019;;650,000;0,000;;0,00;8.500,000;;0;0,00;0,00;;0,000;0,000;351,000;1.299,000;3.350,000;1.102,000;340,000;2.650,000;2.694,000;1.750,000;2.800,000;2.206,000;4500309211;27/11/2019;;100,000;4500309211;27/11/2019;;500,000;4500309211;27/11/2019;;50,000;008;;;1;4;@08@;0,000;0;@08@;0,000;0,0;;39,000;00;LIBERADO;03545;
;DA04;;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;979,000;940,000;0,000;UN;1,06;1.034,77;1.424,808;0,000;ZROH;PD;022;11,8;20,0;0020008079;PLAST LABOR IND.E COM.DE EQUIP.HOSP;7;3;4;C;Z1;50,000;0,000;0,000;50,000;0,000;018;Cobertura 18 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;650,000;116,000;2.153,000;2.797,000;2.627,000;2.941,000;2.890,000;@3J@;1016715128;10;;12/12/2019;;950,000;0,000;;874,00;8.500,000;4600003579;70;0,92;500,00;;0,000;0,000;351,000;1.299,000;3.350,000;1.102,000;340,000;2.650,000;2.694,000;1.750,000;2.800,000;2.206,000;4500309211;27/11/2019;;100,000;4500309211;27/11/2019;;500,000;4500309211;27/11/2019;;50,000;008;;;1;4;@08@;0,000;0;@08@;0,000;0,0;@08@;39,000;00;LIBERADO;03545;
;DA04;;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;979,000;940,000;0,000;UN;1,06;1.034,77;1.424,808;0,000;ZROH;PD;022;11,8;20,0;0020008079;PLAST LABOR IND.E COM.DE EQUIP.HOSP;7;3;4;C;Z1;50,000;0,000;0,000;50,000;0,000;018;Cobertura 18 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;650,000;116,000;2.153,000;2.797,000;2.627,000;2.941,000;2.890,000;@3J@;1016715129;10;;26/12/2019;27/12/2019;600,000;0,000;;552,00;8.500,000;4600003579;70;0,92;500,00;;0,000;0,000;351,000;1.299,000;3.350,000;1.102,000;340,000;2.650,000;2.694,000;1.750,000;2.800,000;2.206,000;4500309211;27/11/2019;;100,000;4500309211;27/11/2019;;500,000;4500309211;27/11/2019;;50,000;008;;;1;4;@08@;0,000;0;@08@;0,000;0,0;@08@;39,000;00;LIBERADO;03545;
;DA04;;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;979,000;940,000;0,000;UN;1,06;1.034,77;1.424,808;0,000;ZROH;PD;022;11,8;20,0;0020008079;PLAST LABOR IND.E COM.DE EQUIP.HOSP;7;3;4;C;Z1;50,000;0,000;0,000;50,000;0,000;018;Cobertura 18 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;650,000;116,000;2.153,000;2.797,000;2.627,000;2.941,000;2.890,000;@3J@;1016715130;10;;02/01/2020;03/01/2020;450,000;0,000;;414,00;8.500,000;4600003579;70;0,92;500,00;;0,000;0,000;351,000;1.299,000;3.350,000;1.102,000;340,000;2.650,000;2.694,000;1.750,000;2.800,000;2.206,000;4500309211;27/11/2019;;100,000;4500309211;27/11/2019;;500,000;4500309211;27/11/2019;;50,000;008;;;1;4;@08@;0,000;0;@08@;0,000;0,0;@08@;39,000;00;LIBERADO;03545;
;DA04;;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;979,000;940,000;0,000;UN;1,06;1.034,77;1.424,808;0,000;ZROH;PD;022;11,8;20,0;;;7;3;4;C;Z1;50,000;0,000;0,000;50,000;0,000;018;Cobertura 18 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;650,000;116,000;2.153,000;2.797,000;2.627,000;2.941,000;2.890,000;@3J@;1016715131;10;;02/01/2020;;650,000;0,000;;0,00;8.500,000;;0;0,00;0,00;;0,000;0,000;351,000;1.299,000;3.350,000;1.102,000;340,000;2.650,000;2.694,000;1.750,000;2.800,000;2.206,000;4500309211;27/11/2019;;100,000;4500309211;27/11/2019;;500,000;4500309211;27/11/2019;;50,000;008;;;1;4;@08@;0,000;0;@08@;0,000;0,0;;39,000;00;LIBERADO;03545;
;DA04;;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;979,000;940,000;0,000;UN;1,06;1.034,77;1.424,808;0,000;ZROH;PD;022;11,8;20,0;;;7;3;4;C;Z1;50,000;0,000;0,000;50,000;0,000;018;Cobertura 18 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;650,000;116,000;2.153,000;2.797,000;2.627,000;2.941,000;2.890,000;@3J@;1016715132;10;;09/01/2020;;600,000;0,000;;0,00;8.500,000;;0;0,00;0,00;;0,000;0,000;351,000;1.299,000;3.350,000;1.102,000;340,000;2.650,000;2.694,000;1.750,000;2.800,000;2.206,000;4500309211;27/11/2019;;100,000;4500309211;27/11/2019;;500,000;4500309211;27/11/2019;;50,000;008;;;1;4;@08@;0,000;0;@08@;0,000;0,0;;39,000;00;LIBERADO;03545;
;DA04;;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;979,000;940,000;0,000;UN;1,06;1.034,77;1.424,808;0,000;ZROH;PD;022;11,8;20,0;;;7;3;4;C;Z1;50,000;0,000;0,000;50,000;0,000;018;Cobertura 18 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;650,000;116,000;2.153,000;2.797,000;2.627,000;2.941,000;2.890,000;@3J@;1016715133;10;;16/01/2020;;650,000;0,000;;0,00;8.500,000;;0;0,00;0,00;;0,000;0,000;351,000;1.299,000;3.350,000;1.102,000;340,000;2.650,000;2.694,000;1.750,000;2.800,000;2.206,000;4500309211;27/11/2019;;100,000;4500309211;27/11/2019;;500,000;4500309211;27/11/2019;;50,000;008;;;1;4;@08@;0,000;0;@08@;0,000;0,0;;39,000;00;LIBERADO;03545;
;D969;;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;0,000;0,000;0,000;UN;1,59;0,00;39,204;0,000;ZROH;VV;005;0,0;15,0;DA04;ARMAZEM-PE;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;149,000;13,636;340,910;272,728;272,728;340,910;272,728;@3J@;;0;;;;0,000;0,000;;0,00;1.579,000;;0;0,00;0,00;;200,000;0,000;0,000;0,000;0,000;0,000;0,000;200,000;0,000;300,000;300,000;150,000;5500001368;29/11/2019;31/12/9999;53,000;5500001368;02/12/2019;31/12/9999;14,000;5500001368;03/12/2019;31/12/9999;13,000;;;;359;401;@08@;0,000;0;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;03545;
