Centro;Material;Descrição;Saldo Disp.;Preço Unit.;Nec.DEZ/2019;Nec.JAN/2020;Cons.JUN/2019;Cons.JUL/2019;Cons.AGO/2019;Cons.SET/2019;Cons.OUT/2019;Cons.NOV/2019;Num.Mat.Fab.
DA04;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;940;1,06;2.153,00;2.797,00;340;2.650,00;2.694,00;1.750,00;2.800,00;2.206,00;3545
DA04;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;940;1,06;2.153,00;2.797,00;340;2.650,00;2.694,00;1.750,00;2.800,00;2.206,00;3545
DA04;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;940;1,06;2.153,00;2.797,00;340;2.650,00;2.694,00;1.750,00;2.800,00;2.206,00;3545
DA04;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;940;1,06;2.153,00;2.797,00;340;2.650,00;2.694,00;1.750,00;2.800,00;2.206,00;3545
DA04;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;940;1,06;2.153,00;2.797,00;340;2.650,00;2.694,00;1.750,00;2.800,00;2.206,00;3545
DA04;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;940;1,06;2.153,00;2.797,00;340;2.650,00;2.694,00;1.750,00;2.800,00;2.206,00;3545
DA04;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;940;1,06;2.153,00;2.797,00;340;2.650,00;2.694,00;1.750,00;2.800,00;2.206,00;3545
DA04;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;940;1,06;2.153,00;2.797,00;340;2.650,00;2.694,00;1.750,00;2.800,00;2.206,00;3545
DA04;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;940;1,06;2.153,00;2.797,00;340;2.650,00;2.694,00;1.750,00;2.800,00;2.206,00;3545
D969;10000841;TB SOL SALINA 0.85% 3ML P.LABOR;0;1,59;340,91;272,728;0;200;0;300;300;150,00;3545
DA04;10000941;CX ISOPOR 3L;0;3,57;0;0;0;0;0;0;0;0;40007
DA04;10001112;AGUL C/100 C/TRAVA HIPODERMICA 25X7 BD;114;56,7;15;18;38;28;4;23;33;18;30281864
DA04;10001327;SWAB ALCOOL C/100 BIOSOMA;1.364,00;3,1;1.377,00;1.305,00;1.151,00;1.183,00;1.113,00;1.150,00;1.175,00;1.057,00;L-02Y
DA04;10001327;SWAB ALCOOL C/100 BIOSOMA;1.364,00;3,1;1.377,00;1.305,00;1.151,00;1.183,00;1.113,00;1.150,00;1.175,00;1.057,00;L-02Y
DA04;10001327;SWAB ALCOOL C/100 BIOSOMA;1.364,00;3,1;1.377,00;1.305,00;1.151,00;1.183,00;1.113,00;1.150,00;1.175,00;1.057,00;L-02Y
DA04;10001327;SWAB ALCOOL C/100 BIOSOMA;1.364,00;3,1;1.377,00;1.305,00;1.151,00;1.183,00;1.113,00;1.150,00;1.175,00;1.057,00;L-02Y
D969;10001327;SWAB ALCOOL C/100 BIOSOMA;0;3,5;5;4;0;0;0;0;0;0;L-02Y
DA04;10001337;TB COAGULA CITRATO SOD 3.2% 3.5ML GBO;12.631,00;0,37;520;696;17.202,00;450;450;500;1.219,00;900;454332
D969;10001754;CLB CFAS HBA1C C/3 2ML ROCHE;0;46,07;0,835;0,668;0;1;1;2;1;2;4528417190
DA04;10001754;CLB CFAS HBA1C C/3 2ML ROCHE;1;46,07;1;0;0;1;1;2;1;2;4528417190
DA04;10002291;DISCO LINEZOLID 30MCG C/50;0;9,04;0;0;0;0;0;0;0;0;1660
D969;10002291;DISCO LINEZOLID 30MCG C/50;0;9,05;0;0;0;0;0;0;0;0;1660
DA04;10002674;TB VAC EDTA K3 HEMA S/ARESTA 4ML GBO;66.919,00;0,24;84.100,00;78.850,00;70.700,00;70.800,00;69.900,00;69.700,00;72.200,00;65.650,00;454021
DA04;10002674;TB VAC EDTA K3 HEMA S/ARESTA 4ML GBO;66.919,00;0,24;84.100,00;78.850,00;70.700,00;70.800,00;69.900,00;69.700,00;72.200,00;65.650,00;454021
DA04;10002674;TB VAC EDTA K3 HEMA S/ARESTA 4ML GBO;66.919,00;0,24;84.100,00;78.850,00;70.700,00;70.800,00;69.900,00;69.700,00;72.200,00;65.650,00;454021
DA04;10002674;TB VAC EDTA K3 HEMA S/ARESTA 4ML GBO;66.919,00;0,24;84.100,00;78.850,00;70.700,00;70.800,00;69.900,00;69.700,00;72.200,00;65.650,00;454021
DA04;10002674;TB VAC EDTA K3 HEMA S/ARESTA 4ML GBO;66.919,00;0,24;84.100,00;78.850,00;70.700,00;70.800,00;69.900,00;69.700,00;72.200,00;65.650,00;454021
D969;10002674;TB VAC EDTA K3 HEMA S/ARESTA 4ML GBO;0;0,24;31,25;25;0;0;0;0;0;0;454021
D969;10002811;TB COAG 9NC CITRA SOD 3.2% 2ML GBO;0;0,37;15,625;12,5;0;0;0;0;0;0;454322
DA04;10002811;TB COAG 9NC CITRA SOD 3.2% 2ML GBO;23.533,00;0,37;31.800,00;29.450,00;24.900,00;25.450,00;20.350,00;20.350,00;27.400,00;23.900,00;454322
DA04;10002811;TB COAG 9NC CITRA SOD 3.2% 2ML GBO;23.533,00;0,37;31.800,00;29.450,00;24.900,00;25.450,00;20.350,00;20.350,00;27.400,00;23.900,00;454322
DA04;10002811;TB COAG 9NC CITRA SOD 3.2% 2ML GBO;23.533,00;0,37;31.800,00;29.450,00;24.900,00;25.450,00;20.350,00;20.350,00;27.400,00;23.900,00;454322
DA04;10002811;TB COAG 9NC CITRA SOD 3.2% 2ML GBO;23.533,00;0,37;31.800,00;29.450,00;24.900,00;25.450,00;20.350,00;20.350,00;27.400,00;23.900,00;454322
DA04;10002811;TB COAG 9NC CITRA SOD 3.2% 2ML GBO;23.533,00;0,37;31.800,00;29.450,00;24.900,00;25.450,00;20.350,00;20.350,00;27.400,00;23.900,00;454322
DA04;10002860;TB VAC HEMAT TP RX EDTA K3 2ML GBO;29.641,00;0,24;40.850,00;36.000,00;24.900,00;36.650,00;35.100,00;28.500,00;32.500,00;35.250,00;454222
DA04;10002860;TB VAC HEMAT TP RX EDTA K3 2ML GBO;29.641,00;0,24;40.850,00;36.000,00;24.900,00;36.650,00;35.100,00;28.500,00;32.500,00;35.250,00;454222
DA04;10002860;TB VAC HEMAT TP RX EDTA K3 2ML GBO;29.641,00;0,24;40.850,00;36.000,00;24.900,00;36.650,00;35.100,00;28.500,00;32.500,00;35.250,00;454222
DA04;10002860;TB VAC HEMAT TP RX EDTA K3 2ML GBO;29.641,00;0,24;40.850,00;36.000,00;24.900,00;36.650,00;35.100,00;28.500,00;32.500,00;35.250,00;454222
DA04;10002860;TB VAC HEMAT TP RX EDTA K3 2ML GBO;29.641,00;0,24;40.850,00;36.000,00;24.900,00;36.650,00;35.100,00;28.500,00;32.500,00;35.250,00;454222
DA04;10002860;TB VAC HEMAT TP RX EDTA K3 2ML GBO;29.641,00;0,24;40.850,00;36.000,00;24.900,00;36.650,00;35.100,00;28.500,00;32.500,00;35.250,00;454222
D969;10002860;TB VAC HEMAT TP RX EDTA K3 2ML GBO;0;0,24;15,625;12,5;0;0;0;0;0;0;454222
DA04;10003119;RGT TEST RAP P/HIV 25T BMX;0;84,88;0;0;0;0;0;0;0;0;31112
D969;10004181;DENSICHECK PLUS STANDS BMX;0;397,7;2,22;1,776;0;0;0;1;1;2;21255
DA04;10004181;DENSICHECK PLUS STANDS BMX;3;400;2;2;3;0;0;1;1;2;21255
DA04;10004181;DENSICHECK PLUS STANDS BMX;3;400;2;2;3;0;0;1;1;2;21255
DA04;10004181;DENSICHECK PLUS STANDS BMX;3;400;2;2;3;0;0;1;1;2;21255
DA04;10004181;DENSICHECK PLUS STANDS BMX;3;400;2;2;3;0;0;1;1;2;21255
D969;10005057;RGT CARTAO TEST1 P/VHS 1000T ALERE;1,09;747;0;0;0;0;0;0;0;0;8700011
DA04;10005057;RGT CARTAO TEST1 P/VHS 1000T ALERE;6;745,64;0;0;0;1;0;0;0;17;8700011
